ANNO;AteneoCOD;AteneoNOME;AteneoREGIONE;AteneoAREAGEO;CorsoTIPO;COD_FoET2013;DESC_FoET2013;Genere;LAU
2018;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea;01;Education;F;293
2018;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea;01;Education;M;24
2018;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea;02;Arts and humanities;F;833
2018;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea;02;Arts and humanities;M;306
2018;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea;03;Social sciences, journalism and information;F;1034
2018;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea;03;Social sciences, journalism and information;M;711
2018;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea;04;Business, administration and law;F;654
2018;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea;04;Business, administration and law;M;684
2018;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea;05;Natural sciences, mathematics and statistics;F;422
2018;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea;05;Natural sciences, mathematics and statistics;M;304
2018;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea;06;Information and Communication Technologies (ICTs);F;20
2018;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea;06;Information and Communication Technologies (ICTs);M;109
2018;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea;08;Agriculture, forestry, fisheries and veterinary;F;176
2018;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea;08;Agriculture, forestry, fisheries and veterinary;M;172
2018;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea;09;Health and welfare;F;790
2018;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea;09;Health and welfare;M;204
2018;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea;10;Services;F;266
2018;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea;10;Services;M;270
2018;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea Magistrale;01;Education;F;59
2018;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea Magistrale;01;Education;M;7
2018;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea Magistrale;02;Arts and humanities;F;404
2018;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea Magistrale;02;Arts and humanities;M;162
2018;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea Magistrale;03;Social sciences, journalism and information;F;1042
2018;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea Magistrale;03;Social sciences, journalism and information;M;514
2018;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea Magistrale;04;Business, administration and law;F;356
2018;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea Magistrale;04;Business, administration and law;M;414
2018;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea Magistrale;05;Natural sciences, mathematics and statistics;F;351
2018;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea Magistrale;05;Natural sciences, mathematics and statistics;M;279
